Unnamed: 0,Name,Age,Salary,PAN,Email,PAN_valid,Email_valid,Age_valid,Salary_valid,Overall_Status,Errors
102,Priya,130.0,-10000.0,NUVKL4597Q,zgkrrz@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
103,,130.0,-10000.0,DLEBQ8532Y,igqklk@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
104,,-5.0,37281.0,LKQSH0496B,user@,True,False,False,True,False,"Invalid Email, Invalid Age"
105,,-5.0,,IAWIR7290S,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
106,,-5.0,-10000.0,lA0BWPDBvM,lbbyal@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
107,Rahul,-5.0,-10000.0,MFNNH0998A,snodgx@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
108,,,,IIhCPaZsTZ,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
109,Neha,,-10000.0,rA97R9zQID,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
110,Priya,130.0,,UBGOC7856C,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
111,Simran,,,AFLFQ5419A,qwcbmo@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
112,Simran,,44413.0,SCBZQ2502T,fgedac@gmail.com,True,True,False,True,False,Invalid Age
113,Rohit,84.0,-10000.0,KUYPZ0122D,vxaccz@gmail.com,True,True,True,False,False,Invalid Salary
114,Karan,-5.0,33371.0,fh2jeM9nYS,lzcibl@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
115,Priya,-5.0,20731.0,q8ChcVxoYZ,hqmilt@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
116,Anjali,,,QPGAR2310J,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
117,,,,MIVXM0860S,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
118,Neha,2.0,65858.0,6spJlNFUeq,ymjavg@gmail.com,False,True,True,True,False,Invalid PAN
119,Aman,130.0,,xxRGy44fa4,pislyc@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
121,Simran,-5.0,-10000.0,KLYPD0450M,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
122,Rahul,32.0,,vyfqg256cm,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
123,,130.0,-10000.0,CnYZkVuf7e,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
124,Neha,40.0,-10000.0,bh69eWIEgP,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
125,Karan,,95206.0,z4rMFnOdZU,test@gmail,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
126,Rahul,-5.0,,hlVC9BiV8B,cxsexa@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
127,Karan,-5.0,41696.0,axjXVRVJc6,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
128,Priya,-5.0,,1F6RpuueZ8,jdbeyi@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
129,Rohit,61.0,-10000.0,JJWOK7910U,mqiptt@gmail.com,True,True,True,False,False,Invalid Salary
130,Priya,-5.0,,RBABO5450S,yhklvi@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
131,Neha,-5.0,-10000.0,BYNHY8507W,maczyb@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
132,Rohit,20.0,-10000.0,OJURH2809A,aapcxh@gmail.com,True,True,True,False,False,Invalid Salary
133,Neha,130.0,90905.0,ADNBC5252I,abc@,True,False,False,True,False,"Invalid Email, Invalid Age"
134,Priya,-5.0,-10000.0,HTANN8765U,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
135,Neha,-5.0,,GZIGZ2494O,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
136,Karan,-5.0,79776.0,HZSUU8305V,abc@,True,False,False,True,False,"Invalid Email, Invalid Age"
137,,,-10000.0,ZRXKE8129K,dzlnji@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
138,,,-10000.0,qA6bi31lDJ,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
139,Priya,130.0,,69ixlAupoH,yxiqdy@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
140,Karan,-5.0,99566.0,FGjBTczoMZ,eizxfr@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
141,Rohit,130.0,,FLVEZ6489D,kardpk@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
142,Aman,30.0,,I5taC07Rar,user@,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
143,Karan,130.0,-10000.0,XLQWC3820H,cljvji@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
144,Rahul,,,HoFbZ3t3oe,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
145,Priya,130.0,-10000.0,THHUT1587M,yoqite@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
146,Neha,,,2ndlmXjHib,csgnfi@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
147,Anjali,130.0,,MYo7CM3YvY,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
148,,,58616.0,GXFRU6544P,user@,True,False,False,True,False,"Invalid Email, Invalid Age"
149,Rohit,,,SFVDQ2891D,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
150,Anjali,130.0,81575.0,tR5QdNh52b,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
151,Karan,,-10000.0,sh9pTT6vVH,qhqhzk@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
152,Aman,,,Xn4hISyXe3,dlyqat@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
153,Aman,,-10000.0,EKBQB5962F,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
154,Rohit,,,QBMPQ4778R,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
155,Anjali,7.0,,O1tjdeEIEP,nchzlx@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
156,Priya,13.0,,PVHLF5570W,abc@,True,False,True,False,False,"Invalid Email, Invalid Salary"
157,Aman,-5.0,28993.0,UMQMN0725X,,True,False,False,True,False,"Invalid Email, Invalid Age"
158,Priya,-5.0,,BRIGP1233W,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
159,Karan,130.0,79271.0,lFTLQ1daLX,gflzsa@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
160,Priya,130.0,-10000.0,UVCVM2011Z,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
162,Rahul,,,EC8lHi6EJL,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
163,Rohit,130.0,,ecqU1njzcC,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
164,,130.0,83297.0,X0Vn4lMIr0,njyrwx@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
165,Rahul,31.0,-10000.0,ZLDKS0449K,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
166,Karan,,,NXTMH8987H,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
167,Anjali,,,Fr5qlPCgLH,efwcuw@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
168,Simran,,81125.0,MBQRL4794O,user@,True,False,False,True,False,"Invalid Email, Invalid Age"
169,Aman,130.0,33763.0,KZVwDeQD4n,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
170,Rohit,-5.0,-10000.0,CgUtbsF8Yh,gyxuwb@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
171,Simran,-5.0,,JDAWH1409R,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
172,Karan,11.0,-10000.0,u9TaKo8fd7,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
173,Aman,-5.0,-10000.0,TFJSV9625N,rakeod@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
174,,,83379.0,pPupYrqIGX,mxaaws@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
175,Neha,-5.0,22437.0,rC9fm7GahS,,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
176,Neha,,-10000.0,fcGZ2DglM2,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
177,Simran,,-10000.0,GUmE06ZKxE,sxryjw@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
178,Neha,53.0,28052.0,JBDNO2545E,abc@,True,False,True,True,False,Invalid Email
179,Anjali,-5.0,,JDtNZGGEux,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
180,Karan,130.0,53808.0,Zj30KMksuS,soerzs@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
181,Anjali,-5.0,,XJHSF0183N,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
182,Rohit,90.0,,AFMHL7891P,,True,False,True,False,False,"Invalid Email, Invalid Salary"
183,Neha,130.0,37622.0,FQZMU9464N,ezolkv@gmail.com,True,True,False,True,False,Invalid Age
184,Anjali,24.0,,e50JJsQaRU,btjbfp@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
185,Aman,130.0,-10000.0,Rqx6szwX7k,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
186,Neha,72.0,,V1hHbWOF3w,qtfotl@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
187,Karan,130.0,97156.0,061chYwbTm,abc@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
188,Rahul,68.0,,BQWPE2384W,,True,False,True,False,False,"Invalid Email, Invalid Salary"
189,Simran,,98152.0,AXNYA1967Z,jlpzdd@gmail.com,True,True,False,True,False,Invalid Age
190,Simran,31.0,-10000.0,FBZAX0012G,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
191,Anjali,130.0,80802.0,wUkSabXPsu,jpnvio@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
192,Anjali,,-10000.0,IZYRS7493K,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
193,Aman,-5.0,-10000.0,nAGj6vwEIW,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
194,Neha,,-10000.0,NVDZL3041G,ksbzxl@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
195,Rahul,,-10000.0,ke83UMv0wu,zkqubv@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
196,,,36333.0,UPEYT1681T,smxvww@gmail.com,True,True,False,True,False,Invalid Age
197,Priya,130.0,-10000.0,IPenPfSHLw,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
198,Anjali,,,26OioNsfyd,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
199,Anjali,130.0,-10000.0,WSTFLg60Iu,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
200,Rahul,130.0,,SYGQM5900N,wriwlg@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
201,Aman,34.0,56935.0,4iAoxOc2Dv,tymihz@gmail.com,False,True,True,True,False,Invalid PAN
202,Karan,48.0,-10000.0,QPLLR6971R,gtbxwy@gmail.com,True,True,True,False,False,Invalid Salary
203,Karan,85.0,68746.0,3jzTSZfVRa,test@gmail,False,False,True,True,False,"Invalid PAN, Invalid Email"
204,Karan,-5.0,-10000.0,uSEMxA3HI3,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
205,Aman,3.0,-10000.0,FPYMR5382O,dvlafj@gmail.com,True,True,True,False,False,Invalid Salary
206,Priya,,94296.0,0GbD0oa52J,zsbmfd@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
207,Aman,130.0,-10000.0,2HS2lxpPv5,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
208,Anjali,130.0,,LrWsIMkOjf,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
209,Rohit,15.0,20122.0,dkO8m7CCfr,nmwueu@gmail.com,False,True,True,True,False,Invalid PAN
210,Rahul,,63779.0,7kntKwkcQh,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
211,Aman,13.0,-10000.0,CRTOS9522B,jxabit@gmail.com,True,True,True,False,False,Invalid Salary
212,Rohit,130.0,-10000.0,NUMJY9147H,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
213,Neha,64.0,,DMZTM9261R,,True,False,True,False,False,"Invalid Email, Invalid Salary"
214,Neha,-5.0,,CCTRS5341K,vagpde@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
215,Aman,130.0,95173.0,RMBEG9877X,test@gmail,True,False,False,True,False,"Invalid Email, Invalid Age"
216,Priya,130.0,75368.0,vUb6al0RF4,uwnsnc@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
217,Anjali,,,Ry43MF29K0,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
218,,,,SKNLY5880X,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
219,Aman,53.0,-10000.0,0E8k2HxiAn,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
220,Priya,49.0,-10000.0,CRDKK8459D,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
221,Rohit,-5.0,,bszTMO1reQ,kmeakb@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
222,Rohit,,-10000.0,r8bheGNm5f,tfazlm@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
223,Priya,130.0,,FWZPF7390C,gokonh@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
224,Karan,53.0,-10000.0,SALET1457S,test@gmail,True,False,True,False,False,"Invalid Email, Invalid Salary"
225,Simran,130.0,-10000.0,N6GlRxoRXi,bggfbx@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
226,Aman,,28670.0,6D0hOw8jGv,test@gmail,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
227,Simran,,-10000.0,BAfmuf2jxP,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
